entry_id,group,historical_training_path,current_public_path,mechanism,source,raw_public_rows,unique_prompts,unresolved_task_index_rows,group_exclude_splits_in_training_yaml
hamlyn_dvrk_30hz:02,hamlyn_dvrk_30hz,Surgical/Hamlyn/Suturing-1,hamlyn/suturing_1,TASK_INDEX,n17_counts_cache,100067,1,0,failure
hamlyn_dvrk_30hz:03,hamlyn_dvrk_30hz,Surgical/Hamlyn/needle_grasp_and_handover,hamlyn/needle_grasp_and_handover,TASK_INDEX,n17_counts_cache,46582,2,0,failure
hamlyn_dvrk_30hz:04,hamlyn_dvrk_30hz,Surgical/Hamlyn/knot_tying,hamlyn/knot_tying,TASK_INDEX,n17_counts_cache,30222,1,0,failure
hamlyn_dvrk_30hz:05,hamlyn_dvrk_30hz,Surgical/Hamlyn/Tissue_Retraction,hamlyn/tissue_retraction,TASK_INDEX,n17_counts_cache,14160,15,0,failure
ucsd_dvrk:00,ucsd_dvrk,Surgical/UCSD/surgical_learning_dataset,ucsd/surgical_learning_dataset,TASK_INDEX,n17_counts_cache,288604,2,0,
ucsd_dvrk:01,ucsd_dvrk,Surgical/UCSD/surgical_learning_dataset2,ucsd/surgical_learning_dataset2,TASK_INDEX,n17_counts_cache,26313,1,0,
ucb_dvrk:00,ucb_dvrk,Surgical/UCBerkeley/debridement_lerobot,ucberkeley/debridement_lerobot,TASK_INDEX,n17_counts_cache,221950,1,0,
turin_mitic_ex_vivo:00,turin_mitic_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,turin/mitic_lerobot_ex_vivo,DIRECT_TEXT:instruction.text,n17_counts_cache,388690,6,0,failure | MISSING_VIDEOS
turin_mitic_ex_vivo:01,turin_mitic_ex_vivo,Surgical/Turin/mitic_lerobot_plastic_pad,turin/mitic_lerobot_plastic_pad,DIRECT_TEXT:instruction.text,n17_counts_cache,149846,7,0,failure | MISSING_VIDEOS
turin_mitic_ex_vivo:02,turin_mitic_ex_vivo,Surgical/Turin/mitic_lerobot_plastic_pad_3DMED,turin/mitic_lerobot_plastic_pad_3dmed,DIRECT_TEXT:instruction.text,n17_counts_cache,243229,6,0,failure | MISSING_VIDEOS
turin_mitic_ex_vivo:03,turin_mitic_ex_vivo,Surgical/Turin/mitic_lerobot_plastic_tube,turin/mitic_lerobot_plastic_tube,DIRECT_TEXT:instruction.text,n17_counts_cache,216070,6,0,failure | MISSING_VIDEOS
tud_tundra_ur5e:00,tud_tundra_ur5e,Surgical/TUD/260131_TUNDRA_dataset/grasping_retraction,tud/260131_tundra_dataset/grasping_retraction,TASK_INDEX,n17_counts_cache,47753,23,0,
